col_name,q_no,question_text,multi_group,code,label,count,percent,n_valid
v060_bin,Q22,"Overall, what do you enjoy most about life as a graduate student?  [binary]",Q22,1,selected,2027,62.31171226560098,3253
v061_bin,Q22,"Overall, what do you enjoy most about life as a graduate student?  [binary]",Q22,1,selected,1913,58.807254841684596,3253
v062_bin,Q22,"Overall, what do you enjoy most about life as a graduate student?  [binary]",Q22,1,selected,239,7.347064248386105,3253
v063_bin,Q22,"Overall, what do you enjoy most about life as a graduate student?  [binary]",Q22,1,selected,1180,36.27420842299416,3253
v064_bin,Q22,"Overall, what do you enjoy most about life as a graduate student?  [binary]",Q22,1,selected,902,27.728250845373502,3253
v065_bin,Q22,"Overall, what do you enjoy most about life as a graduate student?  [binary]",Q22,1,selected,464,14.263756532431602,3253
v066_bin,Q22,"Overall, what do you enjoy most about life as a graduate student?  [binary]",Q22,1,selected,543,16.692284045496464,3253
v067_bin,Q22,"Overall, what do you enjoy most about life as a graduate      student?  [binary]",Q22,1,selected,758,23.301567783584385,3253
v068_bin,Q22,"Overall, what do you enjoy most about life as a graduate student?  [binary]",Q22,1,selected,928,28.527513064863204,3253
v069_bin,Q22,"Overall, what do you enjoy most about life as a graduate student?  [binary]",Q22,1,selected,101,3.104826314171534,3253
v104_bin,Q37,Who was the perpetrator(s)? Please select all that apply. [binary],Q37,1,selected,261,8.023363049492776,3253
v105_bin,Q37,Who was the perpetrator(s)? Please select all that apply. [binary],Q37,1,selected,231,7.1011374116200425,3253
v106_bin,Q37,Who was the perpetrator(s)? Please select all that apply. [binary],Q37,1,selected,108,3.3200122963418384,3253
v107_bin,Q37,Who was the perpetrator(s)? Please select all that apply. [binary],Q37,1,selected,196,6.025207500768522,3253
v108_bin,Q37,Who was the perpetrator(s)? Please select all that apply. [binary],Q37,1,selected,11,0.33814940055333537,3253
v109_bin,Q37,Who was the perpetrator(s)? Please select all that apply. [binary],Q37,1,selected,28,0.8607439286812173,3253
v110_bin,Q37,Who was the perpetrator(s)? Please select all that apply. [binary],Q37,1,selected,13,0.3996311097448509,3253
v113_bin,Q40,Which of the following have you experienced?  [binary],Q40,1,selected,193,5.932984936981248,3253
v114_bin,Q40,Which of the following have you experienced?  [binary],Q40,1,selected,111,3.4122348601291117,3253
v115_bin,Q40,Which of the following have you experienced?  [binary],Q40,1,selected,94,2.8896403320012296,3253
v116_bin,Q40,Which of the following have you experienced?  [binary],Q40,1,selected,283,8.699661850599446,3253
v117_bin,Q40,Which of the following have you experienced?  [binary],Q40,1,selected,53,1.6292652935751613,3253
v118_bin,Q40,Which of the following have you experienced?  [binary],Q40,1,selected,44,1.3525976022133415,3253
v119_bin,Q40,Which of the following have you experienced?  [binary],Q40,1,selected,65,1.9981555487242546,3253
v120_bin,Q40,Which of the following have you experienced?  [binary],Q40,1,selected,44,1.3525976022133415,3253
v121_bin,Q40,Which of the following have you experienced?  [binary],Q40,1,selected,120,3.6889025514909317,3253
v122_bin,Q40,Which of the following have you experienced?  [binary],Q40,1,selected,23,0.7070396557024285,3253
v149_bin,Q43,"If youâre unlikely to pursue an academic research career, what are the main reasons?  [binary]",Q43,1,selected,131,4.027051952044267,3253
v150_bin,Q43,"If youâre unlikely to pursue an academic research career, what are the main reasons?  [binary]",Q43,1,selected,295,9.06855210574854,3253
v151_bin,Q43,"If youâre unlikely to pursue an academic research career, what are the main reasons?  [binary]",Q43,1,selected,699,21.487857362434674,3253
v152_bin,Q43,"If youâre unlikely to pursue an academic research career, what are the main reasons?  [binary]",Q43,1,selected,402,12.35782354749462,3253
v153_bin,Q43,"If youâre unlikely to pursue an academic research career, what are the main reasons?  [binary]",Q43,1,selected,399,12.265600983707348,3253
v154_bin,Q43,"If youâre unlikely to pursue an academic research career, what are the main reasons?  [binary]",Q43,1,selected,612,18.81340301260375,3253
