question,factor,degree_code_int,degree_label,level,high_stress_group,count,percent
Q35.d – Other types of mental health/wellbeing support beyond 1:1,v100_num,1,Doctorate degree (PhD/DPhil/MD),High support (5–7),0,263,53.23886639676113
Q35.d – Other types of mental health/wellbeing support beyond 1:1,v100_num,1,Doctorate degree (PhD/DPhil/MD),High support (5–7),1,231,46.76113360323887
Q35.d – Other types of mental health/wellbeing support beyond 1:1,v100_num,2,Master's degree (MA/MS/MSc/PSM or other Master’s),High support (5–7),0,120,69.36416184971098
Q35.d – Other types of mental health/wellbeing support beyond 1:1,v100_num,2,Master's degree (MA/MS/MSc/PSM or other Master’s),High support (5–7),1,53,30.63583815028902
Q35.d – Other types of mental health/wellbeing support beyond 1:1,v100_num,3,"Dual doctorate degree (MD-PhD, PhD-PhD or other combination)",High support (5–7),0,6,75.0
Q35.d – Other types of mental health/wellbeing support beyond 1:1,v100_num,3,"Dual doctorate degree (MD-PhD, PhD-PhD or other combination)",High support (5–7),1,2,25.0
Q35.d – Other types of mental health/wellbeing support beyond 1:1,v100_num,1,Doctorate degree (PhD/DPhil/MD),Low support (1–3),0,1000,63.85696040868455
Q35.d – Other types of mental health/wellbeing support beyond 1:1,v100_num,1,Doctorate degree (PhD/DPhil/MD),Low support (1–3),1,566,36.14303959131545
Q35.d – Other types of mental health/wellbeing support beyond 1:1,v100_num,2,Master's degree (MA/MS/MSc/PSM or other Master’s),Low support (1–3),0,373,78.36134453781513
Q35.d – Other types of mental health/wellbeing support beyond 1:1,v100_num,2,Master's degree (MA/MS/MSc/PSM or other Master’s),Low support (1–3),1,103,21.638655462184875
Q35.d – Other types of mental health/wellbeing support beyond 1:1,v100_num,3,"Dual doctorate degree (MD-PhD, PhD-PhD or other combination)",Low support (1–3),0,20,60.60606060606061
Q35.d – Other types of mental health/wellbeing support beyond 1:1,v100_num,3,"Dual doctorate degree (MD-PhD, PhD-PhD or other combination)",Low support (1–3),1,13,39.39393939393939
Q35.d – Other types of mental health/wellbeing support beyond 1:1,v100_num,1,Doctorate degree (PhD/DPhil/MD),Neutral (4),0,193,51.05820105820106
Q35.d – Other types of mental health/wellbeing support beyond 1:1,v100_num,1,Doctorate degree (PhD/DPhil/MD),Neutral (4),1,185,48.94179894179894
Q35.d – Other types of mental health/wellbeing support beyond 1:1,v100_num,2,Master's degree (MA/MS/MSc/PSM or other Master’s),Neutral (4),0,68,67.32673267326733
Q35.d – Other types of mental health/wellbeing support beyond 1:1,v100_num,2,Master's degree (MA/MS/MSc/PSM or other Master’s),Neutral (4),1,33,32.67326732673268
Q35.d – Other types of mental health/wellbeing support beyond 1:1,v100_num,3,"Dual doctorate degree (MD-PhD, PhD-PhD or other combination)",Neutral (4),0,6,75.0
Q35.d – Other types of mental health/wellbeing support beyond 1:1,v100_num,3,"Dual doctorate degree (MD-PhD, PhD-PhD or other combination)",Neutral (4),1,2,25.0
